From	Entry	Reviewed	Entry Name	Protein names	Organism	Length
WP_001181005.1	A0A837FBW2	unreviewed	A0A837FBW2_9ENTR	30S ribosomal protein S10	Enterobacter hormaechei subsp. xiangfangensis	103
WP_001181005.1	A0A658IGP9	unreviewed	A0A658IGP9_SALNE	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Newport str. CFSAN000835	103
WP_001181005.1	A0A807LH83	unreviewed	A0A807LH83_9ENTR	30S ribosomal protein S10	Kosakonia cowanii JCM 10956 = DSM 18146	103
WP_001181005.1	A0A0E3V499	unreviewed	A0A0E3V499_PASMD	30S ribosomal protein S10	Pasteurella multocida subsp. multocida OH4807	103
WP_001181005.1	N1NJZ0	unreviewed	N1NJZ0_XENNE	30S ribosomal protein S10	Xenorhabdus nematophila F1	103
WP_001181005.1	A0A735L084	unreviewed	A0A735L084_SALHO	30S ribosomal protein S10	Salmonella enterica subsp. houtenae serovar 16:z4,z32:-	103
WP_001181005.1	R8AT21	unreviewed	R8AT21_PLESH	30S ribosomal protein S10	Plesiomonas shigelloides 302-73	103
WP_001181005.1	U1SDG0	unreviewed	U1SDG0_9PAST	30S ribosomal protein S10	Aggregatibacter sp. oral taxon 458 str. W10330	103
WP_001181005.1	A0A443ID94	unreviewed	A0A443ID94_9GAMM	30S ribosomal protein S10	[Pantoea] beijingensis	103
WP_001181005.1	A0A7H4ZDX5	unreviewed	A0A7H4ZDX5_YERP4	30S ribosomal protein S10	Yersinia enterocolitica subsp. palearctica serotype O:3 (strain YE-P4)	103
WP_001181005.1	V3PUN2	unreviewed	V3PUN2_9ENTR	30S ribosomal protein S10	Enterobacter sp. MGH 24	103
WP_001181005.1	V4NHF1	unreviewed	V4NHF1_PASMD	30S ribosomal protein S10	Pasteurella multocida subsp. multocida P1062	103
WP_001181005.1	U2L3S7	unreviewed	U2L3S7_SERFO	30S ribosomal protein S10	Serratia fonticola AU-P3(3)	103
WP_001181005.1	A0A806XEZ3	unreviewed	A0A806XEZ3_9ENTR	30S ribosomal protein S10	[Enterobacter] lignolyticus	103
WP_001181005.1	A0A549U4L7	unreviewed	A0A549U4L7_9ENTR	30S ribosomal protein S10	Citrobacter youngae	103
WP_001181005.1	A0A3V9PRR9	unreviewed	A0A3V9PRR9_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Bredeney	103
WP_001181005.1	A0A0E8XKM5	unreviewed	A0A0E8XKM5_9GAMM	30S ribosomal protein S10	Yersinia wautersii	103
WP_001181005.1	A0A068R910	unreviewed	A0A068R910_9GAMM	30S ribosomal protein S10	Serratia symbiotica SCt-VLC	103
WP_001181005.1	S4YPG8	unreviewed	S4YPG8_SERPL	30S ribosomal protein S10	Serratia plymuthica S13	103
WP_001181005.1	A0A198H1Y9	unreviewed	A0A198H1Y9_9ENTR	30S ribosomal protein S10	Enterobacter soli ATCC BAA-2102	103
WP_001181005.1	A0A1B7K706	unreviewed	A0A1B7K706_9ENTR	30S ribosomal protein S10	Kluyvera georgiana ATCC 51603	103
WP_001181005.1	A0A0N0IBQ3	unreviewed	A0A0N0IBQ3_9GAMM	30S ribosomal protein S10	Moellerella wisconsensis ATCC 35017	103
WP_001181005.1	A0A1B7JV40	unreviewed	A0A1B7JV40_9GAMM	30S ribosomal protein S10	Providencia heimbachae ATCC 35613	103
WP_001181005.1	A0A068R7E5	unreviewed	A0A068R7E5_9GAMM	30S ribosomal protein S10	Xenorhabdus poinarii G6	103
WP_001181005.1	A0A198FRS2	unreviewed	A0A198FRS2_9GAMM	30S ribosomal protein S10	Proteus myxofaciens ATCC 19692	103
WP_001181005.1	A0A1I5BF73	unreviewed	A0A1I5BF73_9GAMM	30S ribosomal protein S10	Izhakiella capsodis	103
WP_001181005.1	A0A2X2J395	unreviewed	A0A2X2J395_9GAMM	30S ribosomal protein S10	Serratia quinivorans	103
WP_001181005.1	A0A285L5E4	unreviewed	A0A285L5E4_9ENTR	30S ribosomal protein S10	Enterobacter sp. CC120223-11	103
WP_001181005.1	A0A077QFQ2	unreviewed	A0A077QFQ2_XENBV	30S ribosomal protein S10	Xenorhabdus bovienii str. Intermedium	103
WP_001181005.1	A0A068Z1N2	unreviewed	A0A068Z1N2_9GAMM	30S ribosomal protein S10	Serratia symbiotica	103
WP_001181005.1	A0A5J1MBH6	unreviewed	A0A5J1MBH6_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Isangi	103
WP_001181005.1	A0A484GBP7	unreviewed	A0A484GBP7_9GAMM	30S ribosomal protein S10	Candidatus Schmidhempelia bombi str. Bimp	103
WP_001181005.1	U7R3F7	unreviewed	U7R3F7_PHOTE	30S ribosomal protein S10	Photorhabdus temperata J3	103
WP_001181005.1	A0A081RS06	unreviewed	A0A081RS06_PHOTE	30S ribosomal protein S10	Photorhabdus temperata subsp. temperata Meg1	103
WP_001181005.1	A0A3S5YF84	unreviewed	A0A3S5YF84_SALER	30S ribosomal protein S10	Salmonella enterica subsp. arizonae serovar 18:z4,z23:- str. CVM N26626	103
WP_001181005.1	W7N798	unreviewed	W7N798_9ENTR	30S ribosomal protein S10	Enterobacter sp. DC4	103
WP_001181005.1	A0A0A2ZYK9	unreviewed	A0A0A2ZYK9_9PAST	30S ribosomal protein S10	Gallibacterium anatis 4895	103
WP_001181005.1	A0A0A2Y8D0	unreviewed	A0A0A2Y8D0_9PAST	30S ribosomal protein S10	Gallibacterium anatis IPDH697-78	103
WP_001181005.1	A0A077N2C3	unreviewed	A0A077N2C3_XENBV	30S ribosomal protein S10	Xenorhabdus bovienii str. feltiae Florida	103
WP_001181005.1	A0A077NPD9	unreviewed	A0A077NPD9_XENBV	30S ribosomal protein S10	Xenorhabdus bovienii str. feltiae Moldova	103
WP_001181005.1	A0A077P7K7	unreviewed	A0A077P7K7_XENBV	30S ribosomal protein S10	Xenorhabdus bovienii str. oregonense	103
WP_001181005.1	A0A077PEW9	unreviewed	A0A077PEW9_XENBV	30S ribosomal protein S10	Xenorhabdus bovienii str. kraussei Quebec	103
WP_001181005.1	A0A077PM46	unreviewed	A0A077PM46_XENBV	30S ribosomal protein S10	Xenorhabdus bovienii str. kraussei Becker Underwood	103
WP_001181005.1	A0A375AFG4	unreviewed	A0A375AFG4_9GAMM	30S ribosomal protein S10	Dickeya aquatica	103
WP_001181005.1	A0A084A073	unreviewed	A0A084A073_9GAMM	30S ribosomal protein S10	Serratia sp. DD3	103
WP_001181005.1	A0A6L9JWT3	unreviewed	A0A6L9JWT3_PHOLM	30S ribosomal protein S10	Photorhabdus luminescens subsp. laumondii	103
WP_001181005.1	A0A0E1CBN4	unreviewed	A0A0E1CBN4_KLEPN	30S ribosomal protein S10	Klebsiella pneumoniae 30660/NJST258_1	103
WP_001181005.1	W8UNP3	unreviewed	W8UNP3_KLEPN	30S ribosomal protein S10	Klebsiella pneumoniae 30684/NJST258_2	103
WP_001181005.1	A0A0A8FHJ2	unreviewed	A0A0A8FHJ2_9GAMM	30S ribosomal protein S10	Dickeya zeae EC1	103
WP_001181005.1	W1JC40	unreviewed	W1JC40_9GAMM	30S ribosomal protein S10	Xenorhabdus cabanillasii JM26	103
WP_001181005.1	W1J139	unreviewed	W1J139_9GAMM	30S ribosomal protein S10	Xenorhabdus szentirmaii DSM 16338	103
WP_001181005.1	W0Q683	unreviewed	W0Q683_9PAST	30S ribosomal protein S10	Mannheimia sp. USDA-ARS-USMARC-1261	103
WP_001181005.1	A0A3G3DTF0	unreviewed	A0A3G3DTF0_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Tennessee	103
WP_001181005.1	W1DKB5	unreviewed	W1DKB5_KLEPN	30S ribosomal protein S10	Klebsiella pneumoniae IS43	103
WP_001181005.1	W1EE48	unreviewed	W1EE48_KLEPN	30S ribosomal protein S10	Klebsiella pneumoniae IS53	103
WP_001181005.1	W1HUQ4	unreviewed	W1HUQ4_KLEPN	30S ribosomal protein S10	Klebsiella pneumoniae IS39	103
WP_001181005.1	W0QH43	unreviewed	W0QH43_9PAST	30S ribosomal protein S10	Mannheimia varigena USDA-ARS-USMARC-1296	103
WP_001181005.1	A0A064DB60	unreviewed	A0A064DB60_CITFR	30S ribosomal protein S10	Citrobacter freundii MGH 56	103
WP_001181005.1	W0L873	unreviewed	W0L873_9GAMM	30S ribosomal protein S10	Chania multitudinisentens RB-25	103
WP_001181005.1	A0A7U4GC98	unreviewed	A0A7U4GC98_YEREN	30S ribosomal protein S10	Yersinia enterocolitica LC20	103
WP_001181005.1	A0A086G926	unreviewed	A0A086G926_9GAMM	30S ribosomal protein S10	Serratia nematodiphila DZ0503SBS1	103
WP_001181005.1	A0A097R730	unreviewed	A0A097R730_HAFAL	30S ribosomal protein S10	Hafnia alvei FB1	103
WP_001181005.1	A0A2K1Q4P3	unreviewed	A0A2K1Q4P3_9GAMM	30S ribosomal protein S10	Mixta theicola	103
WP_001181005.1	A0A7U9PSW2	unreviewed	A0A7U9PSW2_SERLI	30S ribosomal protein S10	Serratia liquefaciens FK01	103
WP_001181005.1	A0A663AGM3	unreviewed	A0A663AGM3_9ENTR	30S ribosomal protein S10	Klebsiella quasipneumoniae subsp. similipneumoniae	103
WP_001181005.1	A0A1C1EGE6	unreviewed	A0A1C1EGE6_9ENTR	30S ribosomal protein S10	Klebsiella quasipneumoniae	103
WP_001181005.1	A0A2S9I3S3	unreviewed	A0A2S9I3S3_9GAMM	30S ribosomal protein S10	Pantoea coffeiphila	103
WP_001181005.1	A0A379CB07	unreviewed	A0A379CB07_9PAST	30S ribosomal protein S10	Phocoenobacter uteri	103
WP_001181005.1	A0A6N3CQX2	unreviewed	A0A6N3CQX2_9ENTR	30S ribosomal protein S10	Phytobacter massiliensis	103
WP_001181005.1	A0A370Q638	unreviewed	A0A370Q638_9GAMM	30S ribosomal protein S10	Enterobacillus tribolii	103
WP_001181005.1	A0A3V2W968	unreviewed	A0A3V2W968_SALHA	30S ribosomal protein S10	Salmonella hadar	103
WP_001181005.1	A0A4U8IYI8	unreviewed	A0A4U8IYI8_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Chester	103
WP_001181005.1	A0A224AGP7	unreviewed	A0A224AGP7_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Brandenburg	103
WP_001181005.1	A0A5H5XQN1	unreviewed	A0A5H5XQN1_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Mikawasima	103
WP_001181005.1	A0A5I0QV33	unreviewed	A0A5I0QV33_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar London	103
